PathRow S2TileID S2ULX S2ULY PercentOfS2
001017 23VMH 399960 6800040 61.0
001017 23VMJ 399960 6900000 92.3
001017 23VMK 399960 7000020 19.7
001017 23VNH 499980 6800040 61.0
001017 23VNJ 499980 6900000 89.0
001017 23VNK 499980 7000020 4.9
001017 23VPJ 600000 6900000 6.4
001017 24VUP 300000 6900000 0.6
001018 22VFN 600000 6800040 11.6
001018 23VLH 300000 6800040 29.6
001018 23VMG 399960 6700020 100.0
001018 23VMH 399960 6800040 57.3
001018 23VNG 499980 6700020 39.2
001018 23VNH 499980 6800040 20.7
001019 23VMG 399960 6700020 1.2
001025 21UYR 699960 5600040 1.5
001025 22UCA 300000 5600040 23.9
001025 22UCV 300000 5500020 0.6
001026 21UYP 699960 5400000 15.3
001026 21UYQ 699960 5500020 19.0
001026 21UYR 699960 5600040 2.7
001026 22UCA 300000 5600040 9.5
001026 22UCU 300000 5400000 41.3
001026 22UCV 300000 5500020 52.3
001027 21TYM 699960 5200020 8.7
001027 21TYN 699960 5300040 55.0
001027 21UYP 699960 5400000 27.8
001027 22TCS 300000 5200020 25.2
001027 22TCT 300000 5300040 97.9
001027 22UCU 300000 5400000 49.8
001028 21TYM 699960 5200020 73.3
001028 21TYN 699960 5300040 8.1
001028 22TCS 300000 5200020 92.3
001028 22TCT 300000 5300040 3.8
001047 20QPE 600000 2000040 1.0
001048 20QPD 600000 1900020 46.6
001048 20QPE 600000 2000040 65.7
001048 20QQD 699960 1900020 69.6
001049 20PPB 600000 1700040 25.1
001049 20PPC 600000 1800000 98.8
001049 20PQB 699960 1700040 25.2
001049 20PQC 699960 1800000 83.2
001049 20QND 499980 1900020 0.3
001049 20QPD 600000 1900020 52.4
001049 20QQD 699960 1900020 46.0
001050 20PPA 600000 1600020 84.0
001050 20PPB 600000 1700040 92.6
001050 20PPC 600000 1800000 2.6
001050 20PQA 699960 1600020 42.4
001050 20PQB 699960 1700040 50.9
001050 20PQV 699960 1500000 0.5
001051 20PPA 600000 1600020 33.6
001051 20PPU 600000 1400040 51.5
001051 20PPV 600000 1500000 100.0
001051 20PQA 699960 1600020 9.3
001051 20PQV 699960 1500000 25.9
001052 20PMT 399960 1300020 14.2
001052 20PNS 499980 1200000 6.7
